ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Bosnia0Herzegovina,37,56,93,,,,,,,Syria,110,176,286,63%
,,,,,,,,,,,,,,,Bulgaria,220,266,486,,,,,,,Sierra Leone,5,8,13,63%
,,,,,,,,,,,,,,,Channel Islands,13,,13,,,,,,,Sierra Leone,5,8,13,63%
,,,,,,,,,,,,,,,Croatia,233,227,460,,,,,,,Saint  Lucia,5,8,13,63%
,,,,,,,,,,,,,,,Cyprus,364,214,578,,,,,,,Trinidad and Tobago,25,40,65,63%
,,,,,,,,,,,,,,,Czech Republic,2350,1940,4290,,,,,,,Latvia,249,400,649,62%
,,,,,,,,,,,,,,,Denmark,12884,8278,21162,,,,,,,Oman,8069,12966,21035,62%
,,,,,,,,,,,,,,,Estonia,251,222,473,,,,,,,Georgia,55,89,144,62%
,,,,,,,,,,,,,,,Faeroe Islands ,4,0,4,,,,,,,Uzbekistan,937,1517,2454,62%
,,,,,,,,,,,,,,,Finland,2840,1795,4635,,,,,,,Antigua  and  Barbuda,8,13,21,62%
,,,,,,,,,,,,,,,France,54014,42237,96251,,,,,,,Bosnia0Herzegovina,43,70,113,61%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Mongolia,1201,1959,3160,61%
,,,,,,,,,,,,,,,French Southern and Antarctic Territories,0,0,0,,,,,,,Kyrgyzstan,141,231,372,61%
,,,,,,,,,,,,,,,Georgia,55,89,144,,,,,,,Liechtenstein,47,77,124,61%
,,,,,,,,,,,,,,,Germany,49998,38117,88115,,,,,,,Uzbekistan,967,1596,2563,61%
,,,,,,,,,,,,,,,Gibraltar,54,0,54,,,,,,,Lithuania,350,578,928,61%
,,,,,,,,,,,,,,,Greece,663,713,1376,,,,,,,Somalia,26,43,69,60%
,,,,,,,,,,,,,,,Guernsey,26,0,26,,,,,,,Qatar,4077,6758,10835,60%
,,,,,,,,,,,,,,,Hungary,1091,830,1921,,,,,,,Eritrea,21,35,56,60%
,,,,,,,,,,,,,,,Iceland,316,233,549,,,,,,,Cuba,12,20,32,60%
,,,,,,,,,,,,,,,Ireland,6874,7608,14482,,,,,,,Mauritania,3,5,8,60%
,,,,,,,,,,,,,,,Isle of Man,30,0,30,,,,,,,Honduras,15,25,40,60%
,,,,,,,,,,,,,,,Israel,18380,21651,40031,,,,,,,Gambia,3,5,8,60%
,,,,,,,,,,,,,,,Italy,15177,12452,27629,,,,,,,Bahamas,18,30,48,60%
,,,,,,,,,,,,,,,Jersey,41,0,41,,,,,,,Zimbabwe,67,112,179,60%
,,,,,,,,,,,,,,,Kazakhstan,1535,6662,8197,,,,,,,República Dominicana,49,82,131,60%
,,,,,,,,,,,,,,,Kosovo,0,14,14,,,,,,,Lithuania,408,685,1093,60%
,,,,,,,,,,,,,,,Kyrgyzstan,145,141,286,,,,,,,Latvia,151,254,405,59%
,,,,,,,,,,,,,,,Latvia,185,209,394,,,,,,,Comoros,29,49,78,59%
,,,,,,,,,,,,,,,Liechtenstein,47,77,124,,,,,,,Palestine,170,288,458,59%
,,,,,,,,,,,,,,,Lithuania,446,522,968,,,,,,,Liberia,10,17,27,59%
,,,,,,,,,,,,,,,Luxembourg,587,300,887,,,,,,,Israel,13347,22697,36044,59%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,Cameroon,28,48,76,58%
,,,,,,,,,,,,,,,Malta,127,90,217,,,,,,,Bangladesh,6319,10853,17172,58%
,,,,,,,,,,,,,,,Moldova,59,29,88,,,,,,,Cameroon,25,43,68,58%
,,,,,,,,,,,,,,,Monaco,62,5,67,,,,,,,Latvia,199,344,543,58%
,,,,,,,,,,,,,,,Montenegro,23,10,33,,,,,,,Lithuania,444,770,1214,58%
,,,,,,,,,,,,,,,Netherlands,41066,35508,76574,,,,,,,Somalia,23,40,63,58%
,,,,,,,,,,,,,,,North Macedonia,94,30,124,,,,,,,Antigua  and  Barbuda,4,7,11,57%
,,,,,,,,,,,,,,,Norway,13832,8491,22323,,,,,,,Grenada,8,14,22,57%
,,,,,,,,,,,,,,,Poland,5328,3595,8923,,,,,,,Saint  Lucia,8,14,22,57%
,,,,,,,,,,,,,,,Portugal,2637,2667,5304,,,,,,,Mongolia,694,1217,1911,57%
,,,,,,,,,,,,,,,Romania,677,1001,1678,,,,,,,Côte d'Ivoire,18,32,50,56%
,,,,,,,,,,,,,,,Russian Federation,46676,64937,111613,,,,,,,Montenegro,9,16,25,56%
,,,,,,,,,,,,,,,San Marino,2,2,4,,,,,,,Syria,104,185,289,56%
,,,,,,,,,,,,,,,Serbia,379,318,697,,,,,,,Tonga,5,9,14,56%
,,,,,,,,,,,,,,,Slovakia,966,828,1794,,,,,,,Mauritania,5,9,14,56%
,,,,,,,,,,,,,,,Slovenia,798,618,1416,,,,,,,Venezuela,71,129,200,55%
,,,,,,,,,,,,,,,Spain,22239,16428,38667,,,,,,,Dominica,22,40,62,55%
,,,,,,,,,,,,,,,Sweden,10678,7065,17743,,,,,,,ALBANIA,102,186,288,55%
,,,,,,,,,,,,,,,Switzerland,16989,14164,31153,,,,,,,Yemen,415,757,1172,55%
,,,,,,,,,,,,,,,Tajikistan,52,29,81,,,,,,,Romania,757,1388,2145,55%
,,,,,,,,,,,,,,,Turkey,4456,4390,8846,,,,,,,Kyrgyzstan,629,1157,1786,54%
,,,,,,,,,,,,,,,Turkmenistan,249,34,283,,,,,,,Mongolia,2756,5077,7833,54%
,,,,,,,,,,,,,,,Ukraine,2284,2024,4308,,,,,,,Maldives,2281,4287,6568,53%
,,,,,,,,,,,,,,,United Kingdom,72816,59872,132688,,,,,,,Uzbekistan,3118,5886,9004,53%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,Solomon  Islands,9,17,26,53%
,,,,,,,,,,,,,,,Uzbekistan,1435,1715,3150,,,,,,,Yemen,428,814,1242,53%
,,,,,,,,,,,,,,,Vatican City State,0,1,1,,,,,,,Bosnia0Herzegovina,27,52,79,52%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Paraguay,20,39,59,51%
,,,,,,,,,,,,,,,Middle East,82596,111855,194451,,,,,,,Eritrea,22,43,65,51%
,,,,,,,,,,,,,,,Bahrain,6434,3661,10095,,,,,,,Kazakhstan,13637,26656,40293,51%
,,,,,,,,,,,,,,,Egypt,1768,1138,2906,,,,,,,Palestine,96,188,284,51%
,,,,,,,,,,,,,,,Iraq,382,294,676,,,,,,,Pakistan,2536,4968,7504,51%
,,,,,,,,,,,,,,,Jordan,900,1373,2273,,,,,,,Somalia,28,55,83,51%
,,,,,,,,,,,,,,,Kuwait,12915,11533,24448,,,,,,,Uzbekistan,1377,2734,4111,50%
,,,,,,,,,,,,,,,Lebanon,560,332,892,,,,,,,St.  Vincent  and  The  Grenadines,1,2,3,50%
,,,,,,,,,,,,,,,Libia,,24,24,,,,,,,Marshall Islands,3,6,9,50%
,,,,,,,,,,,,,,,Libya,23,,23,,,,,,,Micronesia FSM,1,2,3,50%
,,,,,,,,,,,,,,,Oman,15392,17384,32776,,,,,,,Gabon,5,10,15,50%
,,,,,,,,,,,,,,,Palestine,153,373,526,,,,,,,Netherlands  Antilles,1,2,3,50%
,,,,,,,,,,,,,,,Qatar,8795,9335,18130,,,,,,,Nauru,1,2,3,50%
,,,,,,,,,,,,,,,Saudi Arabia,6023,33633,39656,,,,,,,Lesotho,7,14,21,50%
,,,,,,,,,,,,,,,Syria,174,405,579,,,,,,,Mauritania,2,4,6,50%
,,,,,,,,,,,,,,,U.A.E.,28675,31059,59734,,,,,,,Cape Verde Rep.,2,4,6,50%
,,,,,,,,,,,,,,,Yemen,402,1311,1713,,,,,,,Sierra Leone,4,8,12,50%
,,,,,,,,,,,,,,,other,518,,518,,,,,,,Grenada,7,14,21,50%
,,,,,,,,,,,,,,,stateless person,518,,518,,,,,,,Eswatini,3,6,9,50%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,Guinea0Bissau,1,2,3,50%
,,,,,,,,,,,,,,,Aug,3472655,2468042,5940697,,,,,,,Guyana,2,4,6,50%
,,,,,,,,,,,,,,,Africa,16269,10295,26564,,,,,,,Guyana,3,6,9,50%
,,,,,,,,,,,,,,,Algeria,470,346,816,,,,,,,Belize,4,8,12,50%
,,,,,,,,,,,,,,,Angola,7,9,16,,,,,,,Uruguay,403,815,1218,49%
,,,,,,,,,,,,,,,Benin,10,5,15,,,,,,,Uzbekistan,849,1720,2569,49%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Uzbekistan,1631,3315,4946,49%
,,,,,,,,,,,,,,,Botswana,56,18,74,,,,,,,Tajikistan,58,118,176,49%
,,,,,,,,,,,,,,,Burkina  Faso,19,14,33,,,,,,,Maldives,896,1829,2725,49%
,,,,,,,,,,,,,,,Burundi,2,5,7,,,,,,,Uzbekistan,1861,3810,5671,49%
,,,,,,,,,,,,,,,Cameroon,28,48,76,,,,,,,Côte d'Ivoire,21,43,64,49%
,,,,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,Algeria,58,120,178,48%
,,,,,,,,,,,,,,,Cape Verde Rep.,3,1,4,,,,,,,Bahamas,12,25,37,48%
,,,,,,,,,,,,,,,Central African Republic,6,1,7,,,,,,,Qatar,1033,2153,3186,48%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Eritrea,39,82,121,48%
,,,,,,,,,,,,,,,Chad,20,13,33,,,,,,,Georgia,103,217,320,47%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,Antigua  and  Barbuda,8,17,25,47%
,,,,,,,,,,,,,,,Comoros,91,198,289,,,,,,,Somalia,14,30,44,47%
,,,,,,,,,,,,,,,Côte d'Ivoire,21,43,64,,,,,,,Belize,6,13,19,46%
,,,,,,,,,,,,,,,Djibouti,5,5,10,,,,,,,Comoros,91,198,289,46%
,,,,,,,,,,,,,,,Equatorial  Guinea,3,1,4,,,,,,,Yemen,370,806,1176,46%
,,,,,,,,,,,,,,,Eritrea,18,63,81,,,,,,,Benin,5,11,16,45%
,,,,,,,,,,,,,,,Eswatini,6,17,23,,,,,,,Uzbekistan,661,1460,2121,45%
,,,,,,,,,,,,,,,Ethiopia,2615,1289,3904,,,,,,,Kazakhstan,9627,21328,30955,45%
,,,,,,,,,,,,,,,Gabon,1,1,2,,,,,,,Kuwait,2282,5064,7346,45%
,,,,,,,,,,,,,,,Gambia,3,5,8,,,,,,,Haiti,4,9,13,44%
,,,,,,,,,,,,,,,Ghana,79,43,122,,,,,,,Syria,155,357,512,43%
,,,,,,,,,,,,,,,Guinea,76,32,108,,,,,,,Venezuela,39,90,129,43%
,,,,,,,,,,,,,,,Guinea0Bissau,0,0,0,,,,,,,Eritrea,31,72,103,43%
,,,,,,,,,,,,,,,Kenya,743,541,1284,,,,,,,Syria,174,405,579,43%
,,,,,,,,,,,,,,,Lesotho,11,0,11,,,,,,,Saudi Arabia,2815,6555,9370,43%
,,,,,,,,,,,,,,,Liberia,20,21,41,,,,,,,Uzbekistan,1554,3621,5175,43%
,,,,,,,,,,,,,,,Madagascar,134,37,171,,,,,,,Marshall Islands,3,7,10,43%
,,,,,,,,,,,,,,,Malawi,46,14,60,,,,,,,Eritrea,14,33,47,42%
,,,,,,,,,,,,,,,Mali,32,40,72,,,,,,,Bosnia0Herzegovina,36,85,121,42%
,,,,,,,,,,,,,,,Mauritania,5,9,14,,,,,,,Palestine,69,164,233,42%
,,,,,,,,,,,,,,,Mauritius,658,972,1630,,,,,,,Comoros,57,138,195,41%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Bahrain,808,1966,2774,41%
,,,,,,,,,,,,,,,Mayotte,33,1,34,,,,,,,Palestine,153,373,526,41%
,,,,,,,,,,,,,,,Melilla,0,0,0,,,,,,,Palestine,70,172,242,41%
,,,,,,,,,,,,,,,Morocco,2486,1507,3993,,,,,,,Barbados,2,5,7,40%
,,,,,,,,,,,,,,,Mozambique,98,52,150,,,,,,,Belize,2,5,7,40%
,,,,,,,,,,,,,,,Namibia,112,18,130,,,,,,,Grenada,4,10,14,40%
,,,,,,,,,,,,,,,Niger,3,10,13,,,,,,,Burundi,2,5,7,40%
,,,,,,,,,,,,,,,Nigeria,227,133,360,,,,,,,Guyana,2,5,7,40%
,,,,,,,,,,,,,,,République Démocratique du Congo,0,31,31,,,,,,,Egypt,465,1163,1628,40%
,,,,,,,,,,,,,,,République du Congo,62,4,66,,,,,,,Georgia,102,257,359,40%
,,,,,,,,,,,,,,,Reunion,750,0,750,,,,,,,Kazakhstan,9065,23019,32084,39%
,,,,,,,,,,,,,,,Rwanda,20,5,25,,,,,,,Tunisia,76,195,271,39%
,,,,,,,,,,,,,,,Saint  Helena,0,1,1,,,,,,,Georgia,141,362,503,39%
,,,,,,,,,,,,,,,Sao Tome/Principe,1,0,1,,,,,,,Grenada,7,18,25,39%
,,,,,,,,,,,,,,,Senegal,107,36,143,,,,,,,Papua New Guinea,82,212,294,39%
,,,,,,,,,,,,,,,Seychelles,288,67,355,,,,,,,Nicaragua,5,13,18,38%
,,,,,,,,,,,,,,,Sierra Leone,7,7,14,,,,,,,Somalia,19,51,70,37%
,,,,,,,,,,,,,,,Somalia,28,55,83,,,,,,,Yemen,368,988,1356,37%
,,,,,,,,,,,,,,,South  Africa,5358,3492,8850,,,,,,,Mauritania,4,11,15,36%
,,,,,,,,,,,,,,,South Sudan,0,4,4,,,,,,,Dominica,10,28,38,36%
,,,,,,,,,,,,,,,Sudan,357,413,770,,,,,,,Eswatini,6,17,23,35%
,,,,,,,,,,,,,,,Tanzania,148,139,287,,,,,,,Somalia,23,66,89,35%
,,,,,,,,,,,,,,,Togo,19,6,25,,,,,,,Syria,102,294,396,35%
,,,,,,,,,,,,,,,Transkei,0,0,0,,,,,,,Eritrea,17,50,67,34%
,,,,,,,,,,,,,,,Tunisia,602,245,847,,,,,,,Georgia,53,156,209,34%
,,,,,,,,,,,,,,,Uganda,178,164,342,,,,,,,Saudi Arabia,6772,20301,27073,33%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Mauritania,2,6,8,33%
,,,,,,,,,,,,,,,Zambia,98,18,116,,,,,,,Jordan,268,804,1072,33%
,,,,,,,,,,,,,,,Zimbabwe,99,96,195,,,,,,,Saint  Helena,1,3,4,33%
,,,,,,,,,,,,,,,America,90479,74573,165052,,,,,,,Comoros,82,246,328,33%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,Palestine,45,138,183,33%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,6,19,25,,,,,,,St.  Kitts  and  Nevis,13,40,53,33%
,,,,,,,,,,,,,,,Argentina,1146,759,1905,,,,,,,Eritrea,14,44,58,32%
,,,,,,,,,,,,,,,Aruba,0,0,0,,,,,,,Belize,7,22,29,32%
,,,,,,,,,,,,,,,Bahamas,12,4,16,,,,,,,Kazakhstan,8619,27221,35840,32%
,,,,,,,,,,,,,,,Barbados,1,7,8,,,,,,,Antigua  and  Barbuda,6,19,25,32%
,,,,,,,,,,,,,,,Belize,1,8,9,,,,,,,Eritrea,13,42,55,31%
,,,,,,,,,,,,,,,Bermuda,13,0,13,,,,,,,Belize,4,13,17,31%
,,,,,,,,,,,,,,,Bolivia,42,48,90,,,,,,,Gambia,4,13,17,31%
,,,,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Dominica,12,39,51,31%
,,,,,,,,,,,,,,,Brazil,2420,2221,4641,,,,,,,Yemen,402,1311,1713,31%
,,,,,,,,,,,,,,,British  Virgin  Islands,0,0,0,,,,,,,Saudi Arabia,2288,7462,9750,31%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,St.  Kitts  and  Nevis,17,56,73,30%
,,,,,,,,,,,,,,,Canada,12116,11251,23367,,,,,,,Comoros,27,89,116,30%
,,,,,,,,,,,,,,,Cayman  Islands,4,0,4,,,,,,,Niger,3,10,13,30%
,,,,,,,,,,,,,,,Chile,802,739,1541,,,,,,,Mauritania,3,10,13,30%
,,,,,,,,,,,,,,,Clipperton  Island,0,0,0,,,,,,,Antigua  and  Barbuda,5,17,22,29%
,,,,,,,,,,,,,,,Colombia,596,494,1090,,,,,,,Somalia,18,62,80,29%
,,,,,,,,,,,,,,,Costa rica,99,44,143,,,,,,,Benin,2,7,9,29%
,,,,,,,,,,,,,,,Cuba,40,28,68,,,,,,,Eritrea,18,63,81,29%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,Somalia,18,64,82,28%
,,,,,,,,,,,,,,,Dominica,7,50,57,,,,,,,Palestine,102,366,468,28%
,,,,,,,,,,,,,,,Ecuador,154,113,267,,,,,,,Saudi Arabia,5181,18664,23845,28%
,,,,,,,,,,,,,,,El Salvador,26,20,46,,,,,,,Georgia,87,318,405,27%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Antigua  and  Barbuda,3,11,14,27%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Djibouti,3,11,14,27%
,,,,,,,,,,,,,,,Greenland,16,0,16,,,,,,,Eritrea,18,66,84,27%
,,,,,,,,,,,,,,,Grenada,7,14,21,,,,,,,Saudi Arabia,1998,7436,9434,27%
,,,,,,,,,,,,,,,Guadalope,18,0,18,,,,,,,Barbados,4,15,19,27%
,,,,,,,,,,,,,,,Guatamala,,30,30,,,,,,,Kazakhstan,2864,10837,13701,26%
,,,,,,,,,,,,,,,Guatemala,62,,62,,,,,,,Cuba,10,38,48,26%
,,,,,,,,,,,,,,,Guyana,11,6,17,,,,,,,Dominica,12,46,58,26%
,,,,,,,,,,,,,,,Haiti,3,2,5,,,,,,,Barbados,1,4,5,25%
,,,,,,,,,,,,,,,Honduras,39,39,78,,,,,,,Palau,1,4,5,25%
,,,,,,,,,,,,,,,Jamaica,27,,27,,,,,,,Haiti,2,8,10,25%
,,,,,,,,,,,,,,,Jamica,,32,32,,,,,,,Nicaragua,4,16,20,25%
,,,,,,,,,,,,,,,Martinique,10,0,10,,,,,,,St.  Vincent  and  The  Grenadines,1,4,5,25%
,,,,,,,,,,,,,,,Mexico,1581,1865,3446,,,,,,,Barbados,3,12,15,25%
,,,,,,,,,,,,,,,Montserrat,0,0,0,,,,,,,Grenada,3,12,15,25%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Venezuela,38,152,190,25%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,0,0,,,,,,,Chad,3,12,15,25%
,,,,,,,,,,,,,,,Nicaragua,4,16,20,,,,,,,Haiti,2,8,10,25%
,,,,,,,,,,,,,,,Panama,33,16,49,,,,,,,Comoros,38,155,193,25%
,,,,,,,,,,,,,,,Paraguay,31,44,75,,,,,,,Somalia,11,45,56,24%
,,,,,,,,,,,,,,,Peru,375,438,813,,,,,,,Palestine,73,312,385,23%
,,,,,,,,,,,,,,,Puerto Rico,18,0,18,,,,,,,Grenada,3,13,16,23%
,,,,,,,,,,,,,,,República Dominicana,31,32,63,,,,,,,Kazakhstan,1535,6662,8197,23%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Morocco,161,700,861,23%
,,,,,,,,,,,,,,,Saint  Barthelemy,0,0,0,,,,,,,Middle East,9710,42384,52094,23%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Oman,1493,6544,8037,23%
,,,,,,,,,,,,,,,Saint  Lucia,1,13,14,,,,,,,Syria,60,265,325,23%
,,,,,,,,,,,,,,,Saint  Martin,1,0,1,,,,,,,Kazakhstan,1414,6403,7817,22%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,,,,,,,St.  Kitts  and  Nevis,12,56,68,21%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,U.A.E.,2055,9609,11664,21%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,10,69,79,,,,,,,Saudi Arabia,1807,8472,10279,21%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,Dominica,10,47,57,21%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,1,4,5,,,,,,,Kazakhstan,1910,9230,11140,21%
,,,,,,,,,,,,,,,Surinam,,12,12,,,,,,,Kazakhstan,4501,21842,26343,21%
,,,,,,,,,,,,,,,Suriname,9,,9,,,,,,,Haiti,2,10,12,20%
,,,,,,,,,,,,,,,The United States of America,70438,55960,126398,,,,,,,Haiti,2,10,12,20%
,,,,,,,,,,,,,,,Trinidad and Tobago,74,38,112,,,,,,,Mauritania,1,5,6,20%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,République Démocratique du Congo,2,10,12,20%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Mauritania,1,5,6,20%
,,,,,,,,,,,,,,,Uruguay,155,48,203,,,,,,,Saudi Arabia,2391,12180,14571,20%
,,,,,,,,,,,,,,,Venezuela,39,90,129,,,,,,,Kazakhstan,1238,6408,7646,19%
,,,,,,,,,,,,,,,Asia and the Pacific,2871349,1918315,4789664,,,,,,,Saint  Lucia,2,11,13,18%
,,,,,,,,,,,,,,,Afganistan,,60,60,,,,,,,Dominica,7,39,46,18%
,,,,,,,,,,,,,,,Afghanistan,181,,181,,,,,,,Saudi Arabia,6023,33633,39656,18%
,,,,,,,,,,,,,,,American Samoa,0,3,3,,,,,,,Saudi Arabia,2276,13508,15784,17%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,Gabon,1,6,7,17%
,,,,,,,,,,,,,,,Australia,57467,52796,110263,,,,,,,Saint  Lucia,1,6,7,17%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,Kazakhstan,984,5956,6940,17%
,,,,,,,,,,,,,,,Bangladesh,14463,12524,26987,,,,,,,Saudi Arabia,2531,15382,17913,16%
,,,,,,,,,,,,,,,Bhutan,2102,1223,3325,,,,,,,Kazakhstan,1135,6927,8062,16%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Dominica,10,62,72,16%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,St.  Kitts  and  Nevis,15,93,108,16%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,République Démocratique du Congo,2,13,15,15%
,,,,,,,,,,,,,,,Brunei,1363,1551,2914,,,,,,,St.  Kitts  and  Nevis,10,65,75,15%
,,,,,,,,,,,,,,,Cambodia,80354,56265,136619,,,,,,,St.  Kitts  and  Nevis,7,46,53,15%
,,,,,,,,,,,,,,,Caroline Islands,1,0,1,,,,,,,St.  Kitts  and  Nevis,8,55,63,15%
,,,,,,,,,,,,,,,China,1056767,355146,1411913,,,,,,,St.  Kitts  and  Nevis,10,69,79,14%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,Dominica,8,56,64,14%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Belize,1,7,8,14%
,,,,,,,,,,,,,,,Cook  Islands,0,0,0,,,,,,,Barbados,1,7,8,14%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Barbados,1,7,8,14%
,,,,,,,,,,,,,,,Fiji,112,137,249,,,,,,,Cape Verde Rep.,1,7,8,14%
,,,,,,,,,,,,,,,French  Polynesia,25,0,25,,,,,,,Dominica,7,50,57,14%
,,,,,,,,,,,,,,,Guam,43,0,43,,,,,,,Dominica,11,79,90,14%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,Palestine,30,220,250,14%
,,,,,,,,,,,,,,,Hong Kong (China),123803,100437,224240,,,,,,,St.  Kitts  and  Nevis,8,60,68,13%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Belize,1,8,9,13%
,,,,,,,,,,,,,,,India,166062,130667,296729,,,,,,,Antigua  and  Barbuda,6,48,54,13%
,,,,,,,,,,,,,,,Indonesia,57246,63152,120398,,,,,,,Dominica,6,50,56,12%
,,,,,,,,,,,,,,,Iran,3947,4706,8653,,,,,,,Antigua  and  Barbuda,2,18,20,11%
,,,,,,,,,,,,,,,Japan,195039,101847,296886,,,,,,,Cape Verde Rep.,1,9,10,11%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,République Démocratique du Congo,2,19,21,11%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,St.  Kitts  and  Nevis,5,49,54,10%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Saudi Arabia,2058,21089,23147,10%
,,,,,,,,,,,,,,,Kiribati,6,2,8,,,,,,,Yemen,59,612,671,10%
,,,,,,,,,,,,,,,Korea (Republic of),178917,146387,325304,,,,,,,Grenada,2,21,23,10%
,,,,,,,,,,,,,,,Laos,176106,84275,260381,,,,,,,Dominica,3,34,37,9%
,,,,,,,,,,,,,,,Macao (China),13397,7323,20720,,,,,,,Saint  Lucia,1,13,14,8%
,,,,,,,,,,,,,,,Malaysia,376890,438556,815446,,,,,,,Saint  Lucia,1,14,15,7%
,,,,,,,,,,,,,,,Maldives,2107,1743,3850,,,,,,,Chad,1,14,15,7%
,,,,,,,,,,,,,,,Marshall Islands,4,2,6,,,,,,,St.  Kitts  and  Nevis,4,56,60,7%
,,,,,,,,,,,,,,,Micronesia FSM,0,0,0,,,,,,,St.  Kitts  and  Nevis,4,72,76,6%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Saudi Arabia,643,13431,14074,5%
,,,,,,,,,,,,,,,Mongolia,550,714,1264,,,,,,,Comoros,5,106,111,5%
,,,,,,,,,,,,,,,Myanmar,28130,32666,60796,,,,,,,Bophuthatswana,0,0,0,0%
,,,,,,,,,,,,,,,N. Mariana Islands,1,0,1,,,,,,,Canary  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Nauru,29,42,71,,,,,,,Central African Republic,0,1,1,0%
,,,,,,,,,,,,,,,Nepal,5870,2566,8436,,,,,,,Ceuta,0,0,0,0%
,,,,,,,,,,,,,,,New Caledonia,178,0,178,,,,,,,ciskei,0,,0,0%
,,,,,,,,,,,,,,,New Zealand,8524,7508,16032,,,,,,,Equatorial  Guinea,0,1,1,0%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,Guinea0Bissau,0,0,0,0%
,,,,,,,,,,,,,,,Norfalk  Island,1,0,1,,,,,,,Mauritania,0,2,2,0%
,,,,,,,,,,,,,,,North Korea,0,3,3,,,,,,,Mauritun,0,0,0,0%
,,,,,,,,,,,,,,,Pakistan,5258,5653,10911,,,,,,,Mayotte,32,0,32,0%
,,,,,,,,,,,,,,,Palau,3,1,4,,,,,,,Melilla,0,0,0,0%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Niger,5,0,5,0%
,,,,,,,,,,,,,,,Papua New Guinea,81,68,149,,,,,,,République Démocratique du Congo,0,13,13,0%
,,,,,,,,,,,,,,,Philippines,40670,43784,84454,,,,,,,Reunion,1165,0,1165,0%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Saint  Helena,0,0,0,0%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Sao Tome/Principe,0,0,0,0%
,,,,,,,,,,,,,,,Samoa,10,0,10,,,,,,,South Sudan,0,4,4,0%
